date,year,quarter,mapped_sector,ERI_Score_V1,Score_Res_V1,Score_Abs_V1,Score_Rec_V1,ERI_Score_V2,Score_Res_V2,Score_Abs_V2,Score_Rec_V2
2020-09-30,2020,3,Manufacturing,0.6727538503401851,0.5767490197780876,0.8715404572193073,0.6019736842105262,0.6844396001100097,0.5063768115942028,0.8109434261357227,0.6119736842105262
2020-12-31,2020,4,Manufacturing,0.6131759601325483,0.5892827988807812,0.6661042054428915,0.5921052631578947,0.49472350794901543,0.5172463768115942,0.3331571678445957,0.6021052631578947
2021-03-31,2021,1,Manufacturing,0.5992366063079216,0.5219468581106822,0.6666577891595311,0.6348684210526315,0.4849297243930475,0.47014492753623194,0.33531638624259497,0.6448684210526315
2021-06-30,2021,2,Manufacturing,0.591811479982236,0.46870062162398674,0.6701391921614364,0.6776315789473684,0.4744917914709491,0.4230434782608695,0.3420787442685176,0.6876315789473684
2021-09-30,2021,3,Manufacturing,0.5888794639854263,0.42561224919687357,0.6750538108468178,0.7203947368421052,0.4596116169351929,0.3759420289855071,0.3471428749514297,0.7303947368421052
2021-12-31,2021,4,Manufacturing,0.5844294358566162,0.3905235173527549,0.6642422016482057,0.7631578947368419,0.43118882024604244,0.3288405797101449,0.3329907778587212,0.7731578947368419
2022-03-31,2022,1,Manufacturing,0.6049515273958792,0.4286375198119773,0.6522252403422244,0.7927631578947367,0.4575148628813498,0.37117732277379334,0.3175064298842536,0.8027631578947367
2022-06-30,2022,2,Manufacturing,0.6238801469573807,0.4722462936357843,0.6275703439575919,0.8223684210526314,0.537910017052774,0.42555376662524014,0.3899303642110501,0.8323684210526314
2022-09-30,2022,3,Manufacturing,0.6471274602554664,0.5228540523658073,0.6079791134866188,0.8519736842105262,0.6143262755732645,0.49577522798675955,0.4395739171200952,0.8619736842105262
2022-12-31,2022,4,Manufacturing,0.6524073277798865,0.58300128770666,0.5157770949556544,0.8815789473684208,0.7390635296693597,0.7121042783899352,0.43805880033050804,0.8915789473684208
2023-03-31,2023,1,Manufacturing,0.5826794858956414,0.46560056546382633,0.5155431464021242,0.8059210526315788,0.564544776916067,0.4906895294341548,0.37442197715721237,0.8159210526315788
2023-06-30,2023,2,Manufacturing,0.5290473510168323,0.3850387376992269,0.5198430285624016,0.7302631578947367,0.5299367126872819,0.47078970515114094,0.36827312998398365,0.7402631578947367
2023-09-30,2023,3,Manufacturing,0.48785157767696063,0.327934734160262,0.5343203502182915,0.6546052631578947,0.5199155442709151,0.48403832289766757,0.37579079211913824,0.6646052631578947
2023-12-31,2023,4,Manufacturing,0.5084745926367455,0.2886169401190277,0.7311453535427288,0.5789473684210527,0.6868805726394069,0.5142715543047227,0.833668264621589,0.5889473684210527
2024-03-31,2024,1,Manufacturing,0.5128595733925976,0.34458054055279386,0.7336438221505477,0.5164473684210525,0.6923622340196278,0.5665921956129003,0.8379754842018026,0.5264473684210526
2024-06-30,2024,2,Manufacturing,0.525440598814277,0.41686270521957214,0.7417043540004412,0.4539473684210525,0.5957542158232548,0.45202898550724624,0.8496255230473023,0.4639473684210525
2024-09-30,2024,3,Manufacturing,0.5454174537066099,0.5126713961699783,0.7430489490410095,0.39144736842105254,0.6083275929406078,0.5208695652173913,0.8603455518563885,0.40144736842105255
2024-12-31,2024,4,Manufacturing,0.5805936900068784,0.650865558182359,0.7385441873587302,0.32894736842105254,0.6046490196560595,0.5897101449275362,0.8493957136686262,0.33894736842105255
2019-12-31,2019,4,Other Industries,0.7781708315710496,1.0,0.997411543833323,0.26315789473684204,0.7680415440173235,1.01,1.0002576376632701,0.27315789473684204
2020-03-31,2020,1,Other Industries,0.7781708315710496,1.0,0.997411543833323,0.26315789473684204,0.7680415440173235,1.01,1.0002576376632701,0.27315789473684204
2020-06-30,2020,2,Other Industries,0.7780721388531557,1.0,0.9970825681070102,0.26315789473684204,0.768621162482768,1.01,1.0023987615590781,0.27315789473684204
2020-09-30,2020,3,Other Industries,0.7778874310004034,1.0,0.9964668752645022,0.26315789473684204,0.768472387704732,1.01,1.0018488783666606,0.27315789473684204
2020-12-31,2020,4,Other Industries,0.7789473684210526,1.0,0.9999999999999999,0.26315789473684204,0.770609441979637,1.01,1.009767891527252,0.27315789473684204
